co2,humidity,pressure,temperature,soil_ec,soil_humidity,soil_temperature,volume_L,gdd,standard_day_degree,daily_mean_temperature,daily_max_above_Tbase,daily_max,daily_max_reduction,ontario_units,line,heure_sin,heure_cos,vpd_kpa,volume_L_roll_3h,soil_humidity_roll_3h,target_volume_L
475.5,60.916666666666664,1009.8166666666666,23.083333333333332,524.8333333333334,23.07166666666667,27.0,0.0,21.3,12.95,22.95,17.6,27.6,17.6,28.804,1,-0.5000000000000004,0.8660254037844384,1.10356847368175,0.0,23.107222222222223,0.0
480.5,64.33333333333333,1009.8166666666666,22.666666666666668,521.3333333333334,23.038333333333338,26.633333333333336,0.0,21.3,12.95,22.95,17.6,27.6,17.6,28.804,1,-0.25881904510252157,0.9659258262890681,0.9820072839741512,0.0,23.073333333333334,0.0
484.3333333333333,73.16666666666667,1009.7333333333332,21.733333333333334,518.0,23.048333333333332,26.333333333333332,0.0,31.2,15.05,25.05,23.2,33.2,20.8,27.272,1,0.0,1.0,0.6980050907661104,0.0,23.052777777777777,0.0
546.3333333333334,87.5,1009.7333333333332,19.900000000000002,516.1666666666666,23.099999999999998,26.083333333333332,0.0,31.2,15.05,25.05,23.2,33.2,20.8,27.272,1,0.25881904510252074,0.9659258262890683,0.29048072047764917,0.0,23.06222222222222,0.0
548.6666666666666,89.16666666666667,1009.5,19.583333333333332,513.1666666666666,23.07166666666667,25.816666666666666,0.0,31.2,15.05,25.05,23.2,33.2,20.8,27.272,1,0.49999999999999994,0.8660254037844387,0.24685333419225425,0.0,23.073333333333334,0.0
569.6666666666666,88.91666666666667,1009.3333333333334,18.766666666666666,508.0,23.05,25.6,0.0,31.2,15.05,25.05,23.2,33.2,20.8,27.272,1,0.7071067811865476,0.7071067811865476,0.24002166420772086,0.0,23.073888888888888,0.0
537.0,89.4,1009.26,19.240000000000002,501.6666666666667,23.03,25.333333333333332,0.0,31.2,15.05,25.05,23.2,33.2,20.8,27.272,1,0.8660254037844386,0.5000000000000001,0.23643414890352404,0.0,23.050555555555558,0.0
521.0,78.83333333333333,1008.6,22.666666666666668,494.3333333333333,23.016666666666666,25.133333333333336,0.0,31.2,15.05,25.05,23.2,33.2,20.8,27.272,1,0.9659258262890683,0.25881904510252074,0.5827800236669027,0.0,23.03222222222222,0.0
505.1666666666667,64.16666666666667,1008.7666666666668,26.366666666666664,487.3333333333333,23.00333333333333,25.0,0.0,31.2,15.05,25.05,23.2,33.2,20.8,27.272,1,1.0,6.123233995736766e-17,1.2308717611881366,0.0,23.016666666666666,0.0
483.1666666666667,62.25,1008.4333333333334,26.5,480.8333333333333,22.99,25.066666666666666,0.0,31.2,15.05,25.05,23.2,33.2,20.8,27.272,1,0.9659258262890683,-0.25881904510252063,1.3069360904461786,0.0,23.00333333333333,0.0
485.1666666666667,63.583333333333336,1008.1833333333334,25.433333333333334,474.1666666666667,22.97,25.21666666666667,0.0,31.2,15.05,25.05,23.2,33.2,20.8,27.272,1,0.8660254037844387,-0.4999999999999998,1.1837125563218724,0.0,22.98777777777778,0.0
487.1666666666667,74.25,1008.7333333333332,23.116666666666664,469.5,22.996666666666666,25.349999999999998,0.0,31.2,15.05,25.05,23.2,33.2,20.8,27.272,1,0.7071067811865476,-0.7071067811865475,0.7285508137953703,0.0,22.985555555555553,0.0
489.3333333333333,72.91666666666667,1008.5666666666666,23.566666666666666,465.5,22.99,25.3,0.0,31.2,15.05,25.05,23.2,33.2,20.8,27.272,1,0.49999999999999994,-0.8660254037844387,0.7873618023582255,0.0,22.985555555555553,0.0
485.8333333333333,75.66666666666667,1008.2166666666667,23.583333333333332,459.3333333333333,22.99,25.3,0.0,31.2,15.05,25.05,23.2,33.2,20.8,27.272,1,0.258819045102521,-0.9659258262890682,0.7081246353189069,0.0,22.99222222222222,0.0
473.1666666666667,77.25,1008.1999999999999,22.933333333333334,451.8333333333333,23.00333333333333,25.3,0.0,31.2,15.05,25.05,23.2,33.2,20.8,27.272,1,1.2246467991473532e-16,-1.0,0.636574371864806,0.0,22.99444444444444,0.0
475.3333333333333,85.5,1008.2666666666668,20.650000000000002,445.6666666666667,23.21166666666667,25.183333333333334,0.0,31.2,15.05,25.05,23.2,33.2,20.8,27.272,1,-0.2588190451025208,-0.9659258262890683,0.3529355104202254,0.0,23.06833333333333,0.0
484.0,91.33333333333333,1008.1333333333333,19.65,435.8333333333333,24.218333333333334,24.983333333333334,0.0,31.2,15.05,25.05,23.2,33.2,20.8,27.272,1,-0.4999999999999997,-0.8660254037844388,0.19830177762660922,0.0,23.477777777777778,0.0
487.8333333333333,90.41666666666667,1007.8833333333333,19.583333333333332,572.1666666666666,29.971666666666668,24.599999999999998,0.0,31.2,15.05,25.05,23.2,33.2,20.8,27.272,1,-0.7071067811865471,-0.7071067811865479,0.21837025717007114,0.0,25.800555555555558,0.0
483.6666666666667,90.5,1007.5833333333334,19.283333333333335,910.1666666666666,32.46666666666667,24.28333333333333,0.0,31.2,15.05,25.05,23.2,33.2,20.8,27.272,1,-0.8660254037844385,-0.5000000000000004,0.212470986269176,0.0,28.885555555555555,0.0
485.6666666666667,90.75,1007.3000000000001,19.46666666666667,879.6666666666666,30.781666666666666,24.166666666666668,0.0,31.2,15.05,25.05,23.2,33.2,20.8,27.272,1,-0.9659258262890683,-0.25881904510252063,0.20925244339916826,0.0,31.073333333333334,0.0
501.0,92.41666666666667,1007.1999999999999,19.116666666666667,852.6666666666666,29.933333333333334,24.066666666666666,0.0,31.2,15.05,25.05,23.2,33.2,20.8,27.272,1,-1.0,-1.8369701987210297e-16,0.16785238052309437,0.0,31.060555555555556,0.0
530.5,94.16666666666667,1007.65,18.716666666666665,837.6666666666666,29.32166666666667,23.96666666666667,0.0,31.2,15.05,25.05,23.2,33.2,20.8,27.272,1,-0.9659258262890684,0.2588190451025203,0.12593295495468315,0.0,30.01222222222222,0.0
546.0,95.0,1007.8666666666667,18.75,830.8333333333334,28.366666666666664,23.833333333333332,0.0,31.2,15.05,25.05,23.2,33.2,20.8,27.272,1,-0.8660254037844386,0.5000000000000001,0.10816770824639346,0.0,29.207222222222224,0.0
540.1666666666666,95.41666666666667,1007.5333333333333,18.433333333333334,827.8333333333334,28.25,23.7,0.0,31.2,15.05,25.05,23.2,33.2,20.8,27.272,1,-0.7071067811865477,0.7071067811865474,0.09720795650237622,0.0,28.64611111111111,0.0
563.3333333333334,95.75,1007.5333333333333,18.033333333333335,827.6666666666666,28.175,23.55,0.0,31.2,15.05,25.05,23.2,33.2,20.8,27.272,1,-0.5000000000000004,0.8660254037844384,0.08790355982135889,0.0,28.263888888888886,0.0
561.6666666666666,96.0,1007.4,18.0,824.3333333333334,28.005,23.433333333333334,0.0,31.2,15.05,25.05,23.2,33.2,20.8,27.272,1,-0.25881904510252157,0.9659258262890681,0.08255956810641948,0.0,28.143333333333334,0.0
553.6666666666666,96.0,1007.1166666666667,17.933333333333334,820.5,27.790000000000003,23.266666666666666,0.0,45.2,16.7,26.7,26.2,36.2,17.8,26.313,1,0.0,1.0,0.08221413188731823,0.0,27.99,0.0
541.0,96.0,1006.9666666666667,17.866666666666664,814.3333333333334,27.615,23.166666666666668,0.0,45.2,16.7,26.7,26.2,36.2,17.8,26.313,1,0.25881904510252074,0.9659258262890683,0.08186996163231562,0.0,27.80333333333333,0.0
561.8333333333334,96.08333333333333,1006.6833333333334,17.316666666666666,808.8333333333334,27.486666666666668,23.03333333333333,0.0,45.2,16.7,26.7,26.2,36.2,17.8,26.313,1,0.49999999999999994,0.8660254037844387,0.07743088517847851,0.0,27.63055555555556,0.0
574.3333333333334,96.58333333333333,1006.5833333333334,17.083333333333332,803.1666666666666,27.346666666666664,22.866666666666664,0.0,45.2,16.7,26.7,26.2,36.2,17.8,26.313,1,0.7071067811865476,0.7071067811865476,0.06655619507916054,0.0,27.482777777777773,0.0
